governorate,avg_solar_radiation,avg_peak_sun_hours,avg_temp_max,avg_wind_speed,avg_humidity,hot_days_pct,avg_clearness,avg_temp_penalty,avg_aqi,avg_pm25,avg_pm10,dust_storm_days,avg_pollution_penalty,score_ghi,score_clearness,score_temp,score_wind,score_humidity,score_air,solar_site_score,rank,grade,investment_reco
Giza,5.711382155301145,5.711382155301145,29.86205450472872,2.8605550024888,50.93981333997014,0.054131408661025386,0.9221464534594326,2.512831010452962,3.7053260328521653,35.02746500394102,52.30443815540318,3,5.2374589347934295,38.34306710789954,49.95561358999746,40.5673310893591,16.526298586820953,48.47627657158669,29.549615525448544,38.01,23,D,Not Recommended
Ismailia,5.885901679940269,5.885901679940269,28.869255848680936,2.822323295171727,56.448262817322046,0.022772523643603784,0.9316855400696864,2.1729230960676955,2.9013190642110502,26.447600672596565,38.96078740780363,3,3.931161025385764,51.679398243087896,58.236190576599846,48.230509808238274,14.68713652110248,37.24611152817633,63.346759428780665,49.8,14,D,Not Recommended
Kafr El Sheikh,5.420951804380289,5.420951804380289,30.37879044300647,2.6474552015928325,57.634451219512194,0.08125933300149328,0.8942688028870085,2.6309270781483325,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,16.149130128076,25.75591384910001,36.57876823084985,6.274988940364167,34.82781004716166,57.82811110529895,27.33,25,D,Not Recommended
Luxor,6.419545283723246,6.419545283723246,33.19536336485814,3.006234444997511,28.85673593827775,0.23332503733200596,0.9753075908412145,3.5488937282229966,3.313464410154306,29.306520680731705,45.81718618267048,2,4.386752115480339,92.4590635724625,96.10310220929603,14.838306009810992,23.534306421652555,93.49740364319797,46.021865355442785,67.74,4,B,Recommended
Matrouh,5.209623929815829,5.209623929815829,22.437007217521156,4.595770283723246,71.5490368342459,0.0,0.8645984196117472,0.370406918865107,2.029367844698855,17.259728569671974,26.59642082525112,2,2.571373817819811,0.0,0.0,97.8795202340449,100.0,6.459919299211336,100.0,40.0,19,D,Not Recommended
Minya,6.145175808860129,6.145175808860129,30.82270905923345,3.0364447486311597,39.46907914385267,0.09507217521154804,0.9653359009457442,2.7931408661025388,3.7084370333499255,37.28923732119213,57.53370496665007,7,5.56115355898457,71.49245724157429,87.44699610190317,33.15226511054229,24.98759345317447,71.86184790543095,29.418841868494,57.99,11,C,Neutral
Monufia,5.836342297162767,5.836342297162767,30.9318056246889,2.6570793927327028,53.563048780487804,0.12070681931309109,0.933325111996018,2.825023643603783,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,47.89219826679286,59.65945069738192,32.31017444733659,6.7379671461470085,43.128244050664165,57.82811110529895,45.05,17,D,Not Recommended
New Valley,6.482188115978099,6.482188115978099,30.772003484320557,3.1318205574912894,31.66728969636635,0.09245893479342956,0.9790689895470382,2.8026617720258833,4.408287705326033,57.73526653092708,116.46328754886758,22,8.605484071677452,97.24606695173648,99.36825251492377,33.54364948665321,29.575711064245258,87.7674822385479,0.0,66.29,5,B,Recommended
North Sinai,6.0208360129417615,6.0208360129417615,27.44881035340966,2.693867595818815,59.28586485813838,0.009208561473369835,0.9447165878546541,1.838684668989547,2.3041314086610254,19.61986850972636,30.127169902635014,2,2.934336734693878,61.99073131676425,69.54802773756342,59.19459363770582,8.507688467269144,31.461046352048967,88.45007061777474,60.18,10,B,Recommended
Port Said,5.3528608262817325,5.3528608262817325,22.16228969636635,4.348393479342957,74.71765803882528,0.0,0.9008175958188153,0.2521341463414634,2.4715032354405175,22.889267548316326,32.46731983786287,4,3.369113987058238,10.94579352078827,31.440712222023116,100.0,88.09977198293434,0.0,81.41444787362033,46.14,16,D,Not Recommended
Qalyubia,5.711382155301145,5.711382155301145,30.9318056246889,2.6570793927327028,53.563048780487804,0.12070681931309109,0.9221464534594326,2.825023643603783,3.0326032852165254,27.56045287303385,41.38137051142359,6,4.111536834245893,38.34306710789954,49.95561358999746,32.31017444733659,6.7379671461470085,43.128244050664165,57.82811110529895,39.76,21,D,Not Recommended
Qena,6.343190393230462,6.343190393230462,33.66227600796416,2.830871080139373,29.149927824788453,0.273768043802887,0.9734314211050273,3.7015144350423093,3.1189646590343454,26.822028811689023,42.07550937777103,1,4.016348929815829,86.62422013297649,94.47445907235964,11.234317418136797,15.098333481992396,92.8996686020686,54.19783438824083,65.18,6,B,Recommended
Red Sea,6.337985191637631,6.337985191637631,30.148857640617223,4.100710552513688,42.672259830761575,0.009955201592832254,0.9735845072175211,2.428705823792932,2.407789945246391,19.9263260720056,30.907279824222996,0,2.9876642608262816,86.22645207687529,94.60734824633167,38.35356531312624,76.18481773899737,65.33147163062765,84.09269236804938,78.35,1,A,Strongly Recommended
Sharqia,5.711382155301145,5.711382155301145,30.737823544051768,2.5170134395221506,53.41057864609258,0.10627177700348432,0.9221464534594326,2.7591762070681933,3.42284718765555,31.80007206616476,47.21266842379045,3,4.748398456943753,38.34306710789954,49.95561358999746,33.80747638577799,0.0,43.43908737971517,41.42386357692105,36.87,24,D,Not Recommended
Sohag,6.384485042309607,6.384485042309607,32.778840219014434,3.1197523643603784,30.420856147336984,0.19972623195619713,0.97464712543554,3.4124962667994025,4.342956694873071,51.242612460552515,98.29727872920607,8,7.645528870084619,89.77985051513383,95.52977324582935,18.053349954226277,28.99516249433548,90.30860647483166,2.746246796045398,61.06,9,B,Recommended
South Sinai,6.276696241911399,6.276696241911399,27.576986062717772,2.9261050273768046,35.13082379293181,0.006097560975609756,0.9672710054753609,1.8978260328521652,2.043429566948731,15.91068676609756,24.857614605532227,1,2.3840231458437033,81.5429089021668,89.1267986542136,58.20523556206405,19.679626744025246,80.70631925650892,99.40890307056546,76.01,2,A,Strongly Recommended
Suez,6.125498967147835,6.125498967147835,28.65270657043305,2.955461672473868,53.89589347934296,0.013439522150323544,0.957562468889995,2.088995769039323,2.883524141363863,25.210509622370086,38.10386134776817,1,3.768850174216028,69.98880384054381,80.69912754616925,49.902002623573,21.09184795589794,42.449668179661614,64.09478474656063,61.97,8,B,Recommended
